id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	question_template	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
36094		Q	L	q1025	"((431594X1785X36104.NAOK == ""sim""))"	"<p><b>1025. A organização desenvolve, sustenta e/ou hospeda seu site ou portal nos ambientes do PRODERJ.</b></p>"	"A Instrução Normativa PRODERJ/PRE nº 03/2022 regulamenta os procedimentos e recomendações para o desenvolvimento, migração, sustentação e segurança de sites e portais de internet hospedados no PRODERJ."	pt-BR		Y	N		0																																																																																																																																				
14600	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36094		A	0	sim		Sim		pt-BR													0																																																																																																																												
36094		A	0	nao		Não		pt-BR													0																																																																																																																												
36095		Q	M	q1025ext	"((431594X1785X36094.NAOK == ""sim""))"	"<p><strong>Visando explicitar melhor o grau de adoção do controle, marque abaixo uma ou mais opções que majoritariamente caracterizam sua organização:</strong></p>"		pt-BR		Y	N		0																																								1																																																																																												
14562	36094	C	1	431594X1785X36094	'==																																																																																																																																												
36100		SQ		A	1	"a) Administração Total do PRODERJ: modelo no qual o PRODERJ desenvolve e sustenta tanto o site ou portal quanto a hospedagem nos ambientes de homologação e produção, conforme disposto no art. 2º, inciso XVI, da Instrução Normativa PRODERJ/PRE nº 03/2022"		pt-BR		N	N		0																																																																																																																																				
36101		SQ		B	1	"b) ) Administração Parcial do PRODERJ: modelo no qual o PRODERJ desenvolve o site ou portal, gerencia a hospedagem e o ambiente de produção, cabendo ao órgão ou entidade realizar a sustentação por meio do Sistema de Gestão de Conteúdo (Content Management System) ou do ambiente de homologação, conforme disposto no art. 2º, inciso XVI, da Instrução Normativa PRODERJ/PRE nº 03/2022"		pt-BR		N	N		0																																																																																																																																				
36102		SQ		C	1	"c) Administração do Cliente: modelo no qual os ambientes de homologação e produção estão sob total responsabilidade do órgão ou entidade, cabendo ao PRODERJ somente o gerenciamento da hospedagem dos servidores, conforme disposto no art. 2º, inciso XVI, da Instrução Normativa PRODERJ/PRE nº 03/2022"		pt-BR		N	N		0																																																																																																																																				
36109		SQ		D	1	"d) a organização possui sites e/ou portais sob gestão do PRODERJ, mas não está acordado conforme o disposto na Instrução Normativa PRODERJ/PRE nº 03/2022"		pt-BR			N		0																																																																																																																																				
